"1|1|The foods great, I love the salads. The service was nice and I always come here. Because it's near my house. Nice when I just want to walk and grab some food. :)"
2|2|Horrible service dont come to this subway they charged me on th app and didnt give me the food
3|2|I was just insulted for no reason All I wanted is a tuna sandwich I love subway but it's always bad treatment when I go there except for the old guy with the mustache
4|2|Terrible customer service from the Indian woman who works here- don't go to this subway.
"5|1|Every time I come here I have a good experience, not sure what other reviewers are complaining about. I live within walking distance and the food is always good, and the employees are always friendly and chatty."
6|2|DO NOT COME HERE!!!Horrible Service... Owner doesn't care about the clients and he's rude and bad spoken!There's much better Subways around the area...
"7|2|This is Subway.  It is a national chain that specializes in making depressing, overpriced and substandard sandwiches.  One goes to the Subway when they have no other resort, or when they make the mistake that the coupon they got will make it taste better.  This location is small, and average at best."
"8|1|I'm surprised by the other reviews. The employees were the kindest people ever and knew exactly what ""light on the lettuce"" meant. Would say it's the better of subways in the area (there are four)."
"9|2|Ok...seriously don't even bother going to this Subway!  Nothing spells ""cheap"" like this Subway.  I ordered a cold club, w/o ham sub roast beef. The sandwich maker put in 2 slices, count them, 1 & 2 SLICES of roast beef---on a footlong! WTF is up w/that?  I've only had a frugal experience w/ this subway location.And they've got that catchy phrase ""$5...$5....$5... footlong""...ummmm...there was nothing $5 about my footlong!! The thing freakin cost me $8, just for the sandwich alone!! I don't think a cold cut sandwich food tax is $3 dude!What a rip off..pssshh!"
10|2|This place sucks.. Its clean but the food isnt the same as other subways. The steak & cheese was terrible! Never going back to this place.
"11|1|I stopped in here today for lunch because I happened to see the place in the same shoppng center where I was at. I knew that they have the deal of the day, which amounts to a special promotion for a particula sub based upon the partucular day.  Today was the turkey breast dandwich for $3.99.  That sounded like a healthy option for me, so I figured why not!  There was a snall line but practicalky nobody eating inside of the restaurant. I had asked for provalone cheese, lettuce, tomatirs, pickles, black olives, and those awesome red peppers. I skipped the chios and drink, and the 6"" sub was sufficient for a quick lunch.  The sub tasted good and there were ni issues to report. The people working behind the counter were nice also!"
"12|2|I decided to eat at Subway for the first time in many years, and now I remember why I never go here anymore. Wheat bread tasted like cardboard and wasn't too fresh. Had the tuna with lettuce, tomato, onion, and some vinegar. I managed to finish the sandwich, but that's the best thing I could say right now. When I was younger, I would come to Subway quite often since the footlong is quite a bit of food at a cheap price. The sandwiches here just don't make the cut for me anymore. It's garbage. Their slogan is ""eat fresh"". What a joke. I will never return unless some outside force posseses me."
13|2|I just ordered a meatball sandwich given that I like meatball sandwiches and it's the sandwich of the day. When I asked for mozzarella cheese on my meatballs they said the only choice I had was provolone. I've never been to a subway where I didn't get to choose what toppings I wanted on my meat. I would have understood if they didn't have mozzarella but they did! They just didn't want to let me have it my way
"14|2|Hey Supervisor or Manager,I don't know who your two uneducated broads were that were working on 4/23/18 at 9:30pm sharp, but I hope you know their training and communication was evidentially shit. I came at 9:25 and these two were wrapping up/closing (which I understand as a dining service associate) but to come off as if you were a burden to them and interrupting their process just rubs me the wrong way. In short, customer service skills need a lot of work. I don't care for whatever personal issues might've been going through their minds that time or if they wanted the shop empty to expedite their process, but I hope you're all smart enough to figure out that the perception from customers is key here. Business comes first. Doesn't take too much common sense to figure that out. Or in this case, there may be a special needs requirement for those two to comprehend appropriately. Don't like what you're reading it? FIX IT. Nimrods."
"15|1|This is my favorite Subway location. I always receive great service, they go above and beyond for the customers. Delicious food and very nice people working there!"
"16|2|Everytime I come in, they seem to be out of exactly the meat I want, without fail. The first time I just chalked it up as an honest mistake due to imperfect foresight. I get it, there's only a finite amount of food at any restaurant, it's only natural that every so often inventory doesn't meet demand. These things happen, I can move past that. I go in, a week and a half, two weeks later. Again, no meatballs. Since I was intending to use a Subway coupon, it would make sense that I would just move on to the next location, especially if it's directly in my route anyway. Upon mentioning this to the employee, she told me to ""hang on"" and disappeared in the back, returning without so much as an explanation, with exactly the number of meatballs needed for a 12"". I didn't think much of it at the time, I just saw it as a miracle of convenience. A third time, nearly a month later, I return, place my same order, and was given a familiar ""we have no more meatballs."" I insisted, explaining what happened last time. They just kind of sat in silence. I didn't have time to play detective, I just ate somewhere else. Attempt #4, 2 weeks later. Same outcome. I figure, there's no way 4 times in a row they'll be ""out of meatballs,"" and when I actually put some real energy into those thoughts, I cast serious doubt on the odds of the only thing I've ever ordered from subway, since I was old enough to eat at subway, which has never once ran out before, that the likelihood of it happening again would be infinitesimal. Today, I ordered another meatball sub, and this time, I added a tuna sandwich to my order. Not only where there once again no meatballs, but it seems, as chance would have it, the only other thing I order would also happen to be all gone. I was speechless; any possible reactively hostile emotion or belligerent response was so completely overwhelmed by stunned bewilderment. I almost never write negative reviews, as a matter of fact, i hardly write reviews at all. I just simply don't go to a bad place again, or continue returning to a good place. My experience here, it was so outlandish and bizarre that I felt it must be shared."
17|2|Not a friendly staff and the dude behind the cash register doesn't know what he is doing!  Won't be back...
"18|2|Stoic unpleasant service at this location. A fairly tasteless, sparse portion of meat with way too much bread. After a numbers of years of eating Subway and in recent news hearing that certain toxic ingredients in the food, I'll be taking my business to Fire House Subs.If you haven't heard of them, they're great. Lots of local athletic boosters and fundraisers for Firefighting associations. The sandwiches are AMAZING. They're also less then a minute from this Subway, across the shopping center. Support local area businesses and stop lining the pockets of greedy franchisees that could careless about the customer. Sorry guys, this Subway reminds me of being at the DMV where English isn't a requirement by the staff and I'm left walking away with a bad taste in my mouth...."
"19|2|Not only was I overchared, the quality of both sandwiches was sub par.  Upon acting upon the ""If it is not right, I'll make it right guarantee,  I was treated to a litany of excuses by the owner.  The establishment was also extremely dirty, with fruit flies circling the produce.  The owner Abera is a complete jerk!  Please do not frequent this Subway location, as the employees cannot understand and process simple directives in english."
"20|2|While the food is fantastic, the service was slow.Our server just seemed like in no rush to make the order, meanwhile the line was getting longer, and longer... and longer.The Subway at Hayfield Shopping Center is friendly, and fast."
"21|1|I've been coming here for over a year, so thought it warranted an update. Good news for them is that I find they're one of the better Subway shops I've been to (and I've been to heaps!). Bad news for me is that in the last few months they, like so many other franchisees, seem to have decided to use old bread, which is such a shame because this really is one of the better ones around anywhere. I come here almost every week, and the stale bread has become very noticeable, and started spoiling the whole sandwich. It feels horribly hard and crumbly, smells awful, and tastes even worse. It's now become usual for me to not be able to eat the whole bread, but instead year off chunks of it at both ends and just eat meats and veggies. If anyone at this shops reads this, I really hope they care enough to stop using old bread, or stop using the any packaging that says ""eat fresh,"" because it's impossible for me to as it is. Apart from serving stale bread, this shop does a great job of maintaining overall cleanliness and not abusing ingredients. Staff are generally friendly and efficient, and I'd like to be able to keep coming here if only they'd stop using old bread."
"22|2|Had a very odd experience just now. I asked to substitute the steak on a Steak, Egg, and Cheese on flatbread for Turkey, the sandwich maker refused, I asked why, he said that he couldn't, which I know not to be the case since I typically purchase breakfast from the Columbia Pike location only a mile up the road from this Pentagon city location. I had decided to go to the Pentagon City location because I had a little more time to stop. I regret that decision now because I asked the sandwich maker why he couldn't substitute the meat, and he says that it costs more, which I would expect, I assume different stores operate differently. I said okay, and the sandwich maker looked puzzle as I stood there. He asked if if I still wanted it. I said yes. He shook his head begrudgingly and headed for the Turkey compartment, and begins to prepare my sandwhich, never asking what type of bread, only six inch or foot long. Good thing he chose the bread I wanted. I would hate to make another change to inconvenience or complicate this man's day.I pay for my item and stand at register for a second, the puzzled look comes on the sandwich maker's face again. He asks, anything else? I ask for my receipt. He prints it out, I take it, and leave.Now sitting in my office enjoying a very good sandwich, I notice my receipt. I will attach a photo to show you all I am not making this up: He changes me for a tuna sandwich with extra tuna!?! LoL! What is that about!?! Certainly people can and do make substitutions at subway often. Isnt that a byproduct of eating fresh?‍I feel that I was over charged and underserved. The moral of the story here. Stay on the menu, improvised sandwiches will cost you."
"23|2|Eat fresh more like Eat hairThe workers had no hospitality. They assumed what I wanted on my sandwich, which they didn't get right at all and when I asked them to change the cheese from American to cheddar they just ignored me and kept making it. They assumed I wanted toasted sandwich toasted, which I did not want. And they did not use gloves to make the sandwich. Then to top it off I bit into a long greasy hair then found I opened the sandwich to find another hair. Overall disgusting and I will not be going there again"
"24|2|It seems that this subway was was not only absent from yelp it also lacked any reviews. So, I guess I must tend to my duties as a yelp reviewer. First, let me say that this place is a madhouse due to all these annoying out-of-towners! The sandwich makers greeted me far better than expected, for what they had to endure from the customers in front of me. I can't believe the level of disrespect and rudeness they receive?!?! My foot long chicken breast was made to order and looked presentable. Unfortunately, when I bit into it I noticed that wasn't as fresh (bread) as I have come to expect from subway. The chicken and the assortment of vegetables I chose was as it should be. The cup of water I receive with my meal was yellow, which I assume was because the fountain was shared  with another soft drink....I hope!!!"
25|1|Blown away! This place goes above and beyond. Best sandwich place.You step up to the counter. You tell the person what type of sandwich you want. Then comes the bread. They have four of five different types. And bottomless toppings (olives included)
26|2|They sucked. I didn't even get the right sandwich when they handed it me and they were rude
"27|2|This subway is bad. When the line is busy, your food get rushed. The service is rude and I don't like it. But, I have to give it another star because at least the food was good. But the service was bad."
"28|3|Lines can be long but it's better than the rest of the food court slop. Wait in line and at least you know you won't get dysentery from the food, unlike most of the rest of the food court."
"29|3|Based on the map, I'm pretty sure this is the one I visited.  It was 10:30pm and I needed something to eat, and everything was either closed or didn't look appealing at the time.  I'll be the first to admit I don't like Subway at all.  Bread tastes fake, chicken tastes like crap, and anything other than the $5 footlongs are overpriced.But it was late, so I stopped in for the Black Forest Ham $5 footlong.  Service was great and friendly, I got my sandwich toasted with the toppings I wanted, and it tasted fresher than any other Subways I've been to.Their credit card machine was down, so cash only.  And another customer in line said their Diet Coke was out of stock for days.  But all in all, the best Subway I've been to, which to me isn't saying as much as it should."
"30|1|Of the many Subway's I have been to, this one is very good.  The service is fast, so don't let the long lines fool you.  Unlike some of the lesser Subway's, this one always has fresh vegetables and fresh bread.  Of all the places in the Pentagon City food court, Subway is one of the most consistent, giving good food and fast service."
"31|3|It's a Subway. There are so many of them, it's hard to keep track of, with the intended pun. Just like the dull pennies you can find without looking, this location is at a fairly busy shopping center. Thankfully it's not too insane, and it seems they do steady business, but I appreciate the relative tranquility of this store. It's got some nice decor of their items on wood panels, to include bread, onions, tomatoes, and green peppers. The seating area is fairly comfortable, but there are no high tables that us taller guys prefer.Ultimately it's a clean restaurant. A friendly staff are both pleasant and helpful. My best guess is this franchise owner doesn't like or run, some of the specials seen at other ones. This is a good one though, and the potato chips rack keeps things organized. If in the area it's worth it. It's convenient to Columbia Pike, and is close to Baileys Crossroads and Lincolnia."
"32|2|I know you might think that all Subways are the same, but this one is below average.  First, the location is not very accessible considering it is in a high traffic area with a two-lane highway.Second, the meat was at least, a day old.  It was very visible of the color changing from being out in the air for too long.  Third, I was not greeted when I entered the location.  Actually, I was treated as if I was a bother since they the guys were counting money.Considering Subways are a dime a dozen, I would continue driving until you reached the next location."
"33|2|The sign on the menu board offered a $5.00 foot long meatball sub, which is the $5.00 special sub for October. To my chagrin, I was charged $5.50 plus tax.I won't be singing ""$5.50 foot long"" Subway jingle anytime soon."
"34|2|Agree on these reviews! If I could give 0 stars I would! Worse customer service ever! !! I thought all Subways are the same but clearly they are not! I asked a lady if they have a discount that the one on Linconia gives! She looked at me like "" what are you talking about""! Then I explained and she said ""never heard of that"" I asked at the one on Linconia and they say all Subways should give military/officers discount! You should know the policies of your work!!! Never going to this Subway again!"
35|2|I was given a single chicken serving when in fact I had asked for a double chicken chopped salad. This happened on two occasions. Skip to the next subway if you really want to eat a sandwich or a salad.
"36|2|If u could give no stars I would! Very rude Asian lady! Told me I would be charged xtra for mayo! Lol! Really? Since when? Then when I went to pay I handed her a $20 my total was 8.09, I tried to hand her the .09 change and she said I can't take it I already entered 20 even! Lmao never again"
"37|2|Not good. Was here on a weekend afternoon, the place was empty. There was an older small lady behind the counter and a younger guy/kid. They guy was somewhat helpful and proficient, but the old lady was stingy and a pain. Everything I asked for felt like an inconvenience and I had to ask for extra everything because she'd only put a tiny bit of everything on the sandwich. Neither one could seem to understand me or communicate well in English. By the end, I was just pissy. I will not be returning."
"38|1|Solid, and one of the least disastrous Subway shops I've been to, as I find that so many of these sandwich ""artists"" can abuse and misuse the ingredients that more often than not give the whole franchise a bad name, and take this from someone who worked at multiple locations over a number of years.Service is quick, although we have never been here during lunch rush, and shop is always clean and bright. One thing that irks me is the whole ""Cold Cut Combo"" thing, where it says on the menu that it comes with ""ham, salami, and bologna,"" and when I ordered it for the first time, there was no ham or salami. The worker's explanation: ""it's ham salami, not ham AND salami."" Well then somebody please tell me what in the world ""ham salami"" is...!All in all, I feel like I can come here and trust them to produce something decent, any time. I'd come back."
"39|1|This is a reliable take-out shop in the Crystal City underground. The shop is always clean and the staff are friendly. I wish that the vegetable ingredients looked a little fresher. See (for example) the picture of the spinach (with wilted bits) and onions (with spoiled brown bits). That condition for veggies is pretty typical for this shop, but not for other Subway shops in the area."
40|1|I always go to Subway with my grandpa when I visit DC - he goes on average twice a week! The owner and staff are always friendly; facility is well maintained and the quality is fresh. The mall area always has groups of folks hanging out so the ambience is lively.
"41|2|I haven't had any issues with customer service, but all the food is very small portions compared to other subways. When I get a steak and egg and cheese they give me just a thimble amount of steak"
"42|2|My co-worker found a grasshopper in his sandwich today. There were multiple witnesses. While I realize that grasshoppers are a delicacy in some parts of the world and that Subway has a ton of topping options, I don't think either scenario applies here. So why 2 stars?A. I've never found one in MY sandwiches here.B. Service is super fast (perhaps too fast to notice a grasshopper going into a sandwich??)C. The manager was very quick to respond. He refunded my colleague's money, plus gave him a new sandwich and some cookies. Perhaps some would argue that isn't enough given what happened, but at least you gotta give the guy credit for acting fast."
43|2|Ate a couple oatmeal rasin cookies here. Got Sick as a dog! Do NOT eat them as they may leave them out too long near the weekend.
"44|3|As I waited in line, I thought long and hard about what it really takes to be a sandwich artist.Long and hard.For 2 minutes.While I credit myself with the ability to have made that sandwich with a bit more finesse than the young lady that helped me, I thought:""Not everyone can be that talented.""But, my bread was fricky, fricky fresh and my soder was poppin.'"
"45|3|It's Subway so you know what kind of food you're getting and either you like it or you don't. Personally, I like the veggie or the roast beef (when it was on the $5 value menu) and I can't do the ""mystery meat"". Anyway, this Subway is clean and the staff is fast, friendly and gives you lots of food on your sandwich."
"46|3|So you want a quick and cheap sandwich? This is the place. There are three people to help guide your creation of the perfect sub. I created a variation of the Subway Melt. all the heat included toasted buns! I saw a red pepper salsa at the end of the serving line. This was just the right kick for my creation. The price was right and with a clean, large, comfortable setting... Why not? Now if there was one area to improve, it has to be the iced tea. It was fresh brewed, but it was weak and watery. There was only one dispenser, so more was obviously needed. I would give them a try if you are in the Crystal City Underground. Eat fresh!"
"47|3|I beat the lunch time rush at this subway the day after the Redskins dominated the New Orleans Saints.  Okay, so why am I referencing a football game with Subway?  Because as a result of the Redskins scoring 20 points or more, Subway / Redskins Fans can obtain a FREE 6inch subway with a purchase of a large drink and chips.  After tax its a whooping $3 and change.  So if you love the Redskins & Subway, then definitely take advantage of the promotion below:  redskins.com/fan-zone/su…It took a minute to redeem my coupon at Subway as the employee were not aware of such a promotion.  The manager swiftly trained the employees and I was off to eat my sub like RG3 to the end zone.  HTTR & Subway!"
"48|1|This is the best Subway. The staff is stable and very nice and thorough.  This guy knows his menu, stock and product details. He always asks if you want your sandwich cut and today wrapped half in foil when we said we weren't sure if we could finish it. We stop every time we're in the area."
"49|1|I love that they have the little glass that can go up and down to cover the food. I know that it is impossible to keep flies out of a restaurant, and with this glass I know that the fly is going to have to be clever to touch anything under it. This subway is very clean, and has a small sitting area with a TV to enjoy your lunch. The parking isn't that great, but it still one of the best subways I have gone to in a long time."
"50|3|Clean, new, fast, and very friendly staff. Parking is not easy, and neither is getting a sub that looks like the pictures they advertise. Free the lettuce!"
"51|1|I love this place, especially when I need something fast to eat on my lunch break at work! The Subway Melt on Honey Oat Bread is so delicious. Parking sometime can be a hassle."
"52|3|A little too crowded at lunch hour, so you have to go before or after to avoid a long line. These locations (two permanent and a cart) were pioneers with the Subway breakfast sandwiches, which are not great but actually have healthier options that any of the other fast food places in the building."
"53|1|I usually visit JBAB Bolling Exchange Food Court, while I'm on base. If I'm in a hurry, I will pay a visit to Subway. It's distracting and confusing for customers  to have the order line in close proximity to Charley's."
"54|1|Great, great, great!  I love the Subway kiosk there at the Apex between corridors 5 and 6.  The ladies there for some reason always have enough bread, enough meats, cheese, and veggies to have a sandwich for me regardless of the time of the work day.The only bad thing is that there is no toaster machine here so I have to eat my sandwiches cold.  Nothing hits the spot like a toasted BMT with provolone....mmm....."
55|3|The steak sandwich is my favorite for lunch once a week. The staff are nice here at my work location in Crystal city. Subway Tuesdays are delicious.
"56|2|I went to buy three sandwiches on this subway and ordered two 6-inch tuna and one 12-inch meatballs.  The tuna ones were prepared well for me, but the meatballs gave me 5 meatloaf with enough sauce and the others without any sauce, which disgusted me.  However, I let it pass and asked for cheddar cheese and when I saw that they added very little to my sandwich, I thought that oor favir they would add a little more cheese and Silvia replied that that could not be, that she gave me the exact measurement,  As far as I know legally, a measurement is not done by hand but by a meter.  In view of that, I decided not to take my sandwich and stay with the desire to eat.  It is a sacred hour, lunch time, where the client goes to fast conidas for not having time to cook, so that someone like Mrs. Silvia comes to embitter the clients' lunch time.  It is my first time that I visit this subway and I assure you that it will be the last time until they change Mrs. Silvia because I do not want to have a bad experience in that place again due to the ineptitude of her staff, as is the case with the lady.  Silvia, which caused a severe headache and high blood pressure.  I recommend no one to go to this subI went to buy three sandwiches on this subway and ordered two 6-inch tuna and one 12-inch meatballs.  The tuna ones were prepared well for me, but the meatballs gave me 5 meatloaf with enough sauce and the others without any sauce, which disgusted me.  However, I let it pass and asked for cheddar cheese and when I saw that they added very little to my sandwich, I thought that oor favir they would add a little more cheese and Silvia replied that that could not be, that she gave me the exact measurement,  As far as I know legally, a measurement is not done by hand but by a meter.  In view of that, I decided not to take my sandwich and stay with the desire to eat.  It is a sacred hour, lunch time, where the client goes to fast conidas for not having time to cook, so that someone like Mrs. Silvia comes to embitter the clients' lunch time.  It is my first time that I visit this subway and I assure you that it will be the last time until they change Mrs. Silvia because I do not want to have a bad experience in that place again due to the ineptitude of her staff, as is the case with the lady.  Silvia, which caused a severe headache and high blood pressure.  I recommend no one to go to this subway.Also I sent an email to the owner of the Subway restaurant and I spoke with him by phone and he told me that he was going to decide for me to go to the restaurant to get my sandwich again and it's almost 6:00 pm and I still haven't had lunch  .  Now I understand why his employee, Mrs. Silvia, acted that way, what a real shame.  but I will never go to that restaurant and I do not admit it to anyone."
"57|1|This is one of the better Subway shops I have been to, and I have been to my fair share. I haven't yet dined in but the store looks inviting in and outside, ingredients have not been abused like at some other Subway restaurants, and I appreciate parking right in front of the store most of the time. Their sandwiches? Unlike at many other shops, I haven't yet had the displeasure of returning my sub because of stale bread, and the most recent tuna sub was on point, with the recommended honey mustard I found perfect for tuna. I've only ever tried sweet chilli sauce on tuna since customers recommended it when I worked at Subway shops in Australia, but since they don't seem to have sweet chilli here, I'm glad I've found a decent alternative. I've only had this same lady -Orfilia?- for service, and she's always been reasonably friendly and quick, so no issues there. They close at 10pm most of the week except for Sunday night -9pm-, I sometimes miss it because I get there right around 9pm. I'd recommend this shop, and definitely go back."
"58|2|Got here the sign in on it's not 9, but guess what they decided to close! Best service especially when you don't even get to experience it!"
59|2|Wow came in here once and the line was very long with only ONE person there. This poor woman kept calling in the back for help and the woman kept ignoring her and kept opening boxes instead of helping at the register.
